description	enabled	ladder	min diff	version	op	param	value	class	numinputs	input 1	input 2	input 3	input 4	input 5	input 6	input 7	output	lvl	plvl	ilvl	mod 1	mod 1 chance	mod 1 param	mod 1 min	mod 1 max	mod 2	mod 2 chance	mod 2 param	mod 2 min	mod 2 max	mod 3	mod 3 chance	mod 3 param	mod 3 min	mod 3 max	mod 4	mod 4 chance	mod 4 param	mod 4 min	mod 4 max	mod 5	mod 5 chance	mod 5 param	mod 5 min	mod 5 max	output b	b lvl	b plvl	b ilvl	b mod 1	b mod 1 chance	b mod 1 param	b mod 1 min	b mod 1 max	b mod 2	b mod 2 chance	b mod 2 param	b mod 2 min	b mod 2 max	b mod 3	b mod 3 chance	b mod 3 param	b mod 3 min	b mod 3 max	b mod 4	b mod 4 chance	b mod 4 param	b mod 4 min	b mod 4 max	b mod 5	b mod 5 chance	b mod 5 param	b mod 5 min	b mod 5 max	output c	c lvl	c plvl	c ilvl	c mod 1	c mod 1 chance	c mod 1 param	c mod 1 min	c mod 1 max	c mod 2	c mod 2 chance	c mod 2 param	c mod 2 min	c mod 2 max	c mod 3	c mod 3 chance	c mod 3 param	c mod 3 min	c mod 3 max	c mod 4	c mod 4 chance	c mod 4 param	c mod 4 min	c mod 4 max	c mod 5	c mod 5 chance	c mod 5 param	c mod 5 min	c mod 5 max	*eol
runes release r06 from stack of x4 s06	1			100	18	70	4		1	s06							s06,qty=3																													r06																																																										0
runes release r06 from stack of x3 s06	1			100	18	70	3		1	s06							s06,qty=2																													r06																																																										0
runes release r06 from stack of x2 s06	1			100	18	70	2		1	s06							s06,qty=1																													r06																																																										0
runes r07 -> stackable s07	1			100					1	r07							s07																																																																																							0
runes stackable s07 -> r07	1			100	18	70	1		1	s07							r07																																																																																							0
runes release r07 from stack of x12 s07	1			100	18	70	12		1	s07							s07,qty=11																													r07																																																										0
runes release r07 from stack of x11 s07	1			100	18	70	11		1	s07							s07,qty=10																													r07																																																										0
runes release r07 from stack of x10 s07	1			100	18	70	10		1	s07							s07,qty=9																													r07																																																										0
runes release r07 from stack of x9 s07	1			100	18	70	9		1	s07							s07,qty=8																													r07																																																										0
runes release r07 from stack of x8 s07	1			100	18	70	8		1	s07							s07,qty=7																													r07																																																										0
runes release r07 from stack of x7 s07	1			100	18	70	7		1	s07							s07,qty=6																													r07																																																										0
runes release r07 from stack of x6 s07	1			100	18	70	6		1	s07							s07,qty=5																													r07																																																										0
runes release r07 from stack of x5 s07	1			100	18	70	5		1	s07							s07,qty=4																													r07																																																										0
runes release r07 from stack of x4 s07	1			100	18	70	4		1	s07							s07,qty=3																													r07																																																										0
runes release r07 from stack of x3 s07	1			100	18	70	3		1	s07							s07,qty=2																													r07																																																										0
runes release r07 from stack of x2 s07	1			100	18	70	2		1	s07							s07,qty=1																													r07																																																										0
runes r08 -> stackable s08	1			100					1	r08							s08																																																																																							0
runes stackable s08 -> r08	1			100	18	70	1		1	s08							r08																																																																																							0
runes release r08 from stack of x12 s08	1			100	18	70	12		1	s08							s08,qty=11																													r08																																																										0
runes release r08 from stack of x11 s08	1			100	18	70	11		1	s08							s08,qty=10																													r08																																																										0
runes release r08 from stack of x10 s08	1			100	18	70	10		1	s08							s08,qty=9																													r08																																																										0
runes release r08 from stack of x9 s08	1			100	18	70	9		1	s08							s08,qty=8																													r08																																																										0
runes release r08 from stack of x8 s08	1			100	18	70	8		1	s08							s08,qty=7																													r08																																																										0
runes release r08 from stack of x7 s08	1			100	18	70	7		1	s08							s08,qty=6																													r08																																																										0
runes release r08 from stack of x6 s08	1			100	18	70	6		1	s08							s08,qty=5																													r08																																																										0
runes release r08 from stack of x5 s08	1			100	18	70	5		1	s08							s08,qty=4																													r08																																																										0
runes release r08 from stack of x4 s08	1			100	18	70	4		1	s08							s08,qty=3																													r08																																																										0
runes release r08 from stack of x3 s08	1			100	18	70	3		1	s08							s08,qty=2																													r08																																																										0
runes release r08 from stack of x2 s08	1			100	18	70	2		1	s08							s08,qty=1																													r08																																																										0
runes r09 -> stackable s09	1			100					1	r09							s09																																																																																							0
runes stackable s09 -> r09	1			100	18	70	1		1	s09							r09																																																																																							0
runes release r09 from stack of x12 s09	1			100	18	70	12		1	s09							s09,qty=11																													r09																																																										0
runes release r09 from stack of x11 s09	1			100	18	70	11		1	s09							s09,qty=10																													r09																																																										0
runes release r09 from stack of x10 s09	1			100	18	70	10		1	s09							s09,qty=9																													r09																																																										0
runes release r09 from stack of x9 s09	1			100	18	70	9		1	s09							s09,qty=8																													r09																																																										0
runes release r09 from stack of x8 s09	1			100	18	70	8		1	s09							s09,qty=7																													r09																																																										0
runes release r09 from stack of x7 s09	1			100	18	70	7		1	s09							s09,qty=6																													r09																																																										0
runes release r09 from stack of x6 s09	1			100	18	70	6		1	s09							s09,qty=5																													r09																																																										0
runes release r09 from stack of x5 s09	1			100	18	70	5		1	s09							s09,qty=4																													r09																																																										0
runes release r09 from stack of x4 s09	1			100	18	70	4		1	s09							s09,qty=3																													r09																																																										0
runes release r09 from stack of x3 s09	1			100	18	70	3		1	s09							s09,qty=2																													r09																																																										0
runes release r09 from stack of x2 s09	1			100	18	70	2		1	s09							s09,qty=1																													r09																																																										0
runes r10 -> stackable s10	1			100					1	r10							s10																																																																																							0
runes stackable s10 -> r10	1			100	18	70	1		1	s10							r10																																																																																							0
runes release r10 from stack of x12 s10	1			100	18	70	12		1	s10							s10,qty=11																													r10																																																										0
runes release r10 from stack of x11 s10	1			100	18	70	11		1	s10							s10,qty=10																													r10																																																										0
runes release r10 from stack of x10 s10	1			100	18	70	10		1	s10							s10,qty=9																													r10																																																										0
runes release r10 from stack of x9 s10	1			100	18	70	9		1	s10							s10,qty=8																													r10																																																										0
runes release r10 from stack of x8 s10	1			100	18	70	8		1	s10							s10,qty=7																													r10																																																										0
runes release r10 from stack of x7 s10	1			100	18	70	7		1	s10							s10,qty=6																													r10																																																										0
runes release r10 from stack of x6 s10	1			100	18	70	6		1	s10							s10,qty=5																													r10																																																										0
runes release r10 from stack of x5 s10	1			100	18	70	5		1	s10							s10,qty=4																													r10																																																										0
runes release r10 from stack of x4 s10	1			100	18	70	4		1	s10							s10,qty=3																													r10																																																										0
runes release r10 from stack of x3 s10	1			100	18	70	3		1	s10							s10,qty=2																													r10																																																										0
runes release r10 from stack of x2 s10	1			100	18	70	2		1	s10							s10,qty=1																													r10																																																										0
runes r11 -> stackable s11	1			100					1	r11							s11																																																																																							0
runes stackable s11 -> r11	1			100	18	70	1		1	s11							r11																																																																																							0
runes release r11 from stack of x12 s11	1			100	18	70	12		1	s11							s11,qty=11																													r11																																																										0
runes release r11 from stack of x11 s11	1			100	18	70	11		1	s11							s11,qty=10																													r11																																																										0
runes release r11 from stack of x10 s11	1			100	18	70	10		1	s11							s11,qty=9																													r11																																																										0
runes release r11 from stack of x9 s11	1			100	18	70	9		1	s11							s11,qty=8																													r11																																																										0
runes release r11 from stack of x8 s11	1			100	18	70	8		1	s11							s11,qty=7																													r11																																																										0
runes release r11 from stack of x7 s11	1			100	18	70	7		1	s11							s11,qty=6																													r11																																																										0
runes release r11 from stack of x6 s11	1			100	18	70	6		1	s11							s11,qty=5																													r11																																																										0
runes release r11 from stack of x5 s11	1			100	18	70	5		1	s11							s11,qty=4																													r11																																																										0
runes release r11 from stack of x4 s11	1			100	18	70	4		1	s11							s11,qty=3																													r11																																																										0
runes release r11 from stack of x3 s11	1			100	18	70	3		1	s11							s11,qty=2																													r11																																																										0
runes release r11 from stack of x2 s11	1			100	18	70	2		1	s11							s11,qty=1																													r11																																																										0
runes r12 -> stackable s12	1			100					1	r12							s12																																																																																							0
runes stackable s12 -> r12	1			100	18	70	1		1	s12							r12																																																																																							0
runes release r12 from stack of x12 s12	1			100	18	70	12		1	s12							s12,qty=11																													r12																																																										0
runes release r12 from stack of x11 s12	1			100	18	70	11		1	s12							s12,qty=10																													r12																																																										0
runes release r12 from stack of x10 s12	1			100	18	70	10		1	s12							s12,qty=9																													r12																																																										0
runes release r12 from stack of x9 s12	1			100	18	70	9		1	s12							s12,qty=8																													r12																																																										0
runes release r12 from stack of x8 s12	1			100	18	70	8		1	s12							s12,qty=7																													r12																																																										0
runes release r12 from stack of x7 s12	1			100	18	70	7		1	s12							s12,qty=6																													r12																																																										0
runes release r12 from stack of x6 s12	1			100	18	70	6		1	s12							s12,qty=5																													r12																																																										0
runes release r12 from stack of x5 s12	1			100	18	70	5		1	s12							s12,qty=4																													r12																																																										0
runes release r12 from stack of x4 s12	1			100	18	70	4		1	s12							s12,qty=3																													r12																																																										0
runes release r12 from stack of x3 s12	1			100	18	70	3		1	s12							s12,qty=2																													r12																																																										0
runes release r12 from stack of x2 s12	1			100	18	70	2		1	s12							s12,qty=1																													r12																																																										0
runes r13 -> stackable s13	1			100					1	r13							s13																																																																																							0
runes stackable s13 -> r13	1			100	18	70	1		1	s13							r13																																																																																							0
runes release r13 from stack of x12 s13	1			100	18	70	12		1	s13							s13,qty=11																													r13																																																										0
runes release r13 from stack of x11 s13	1			100	18	70	11		1	s13							s13,qty=10																													r13																																																										0
runes release r13 from stack of x10 s13	1			100	18	70	10		1	s13							s13,qty=9																													r13																																																										0
runes release r13 from stack of x9 s13	1			100	18	70	9		1	s13							s13,qty=8																													r13																																																										0
runes release r13 from stack of x8 s13	1			100	18	70	8		1	s13							s13,qty=7																													r13																																																										0
runes release r13 from stack of x7 s13	1			100	18	70	7		1	s13							s13,qty=6																													r13																																																										0
runes release r13 from stack of x6 s13	1			100	18	70	6		1	s13							s13,qty=5																													r13																																																										0
runes release r13 from stack of x5 s13	1			100	18	70	5		1	s13							s13,qty=4																													r13																																																										0
runes release r13 from stack of x4 s13	1			100	18	70	4		1	s13							s13,qty=3																													r13																																																										0
runes release r13 from stack of x3 s13	1			100	18	70	3		1	s13							s13,qty=2																													r13																																																										0
runes release r13 from stack of x2 s13	1			100	18	70	2		1	s13							s13,qty=1																													r13																																																										0
runes r14 -> stackable s14	1			100					1	r14							s14																																																																																							0
runes stackable s14 -> r14	1			100	18	70	1		1	s14							r14																																																																																							0
runes release r14 from stack of x12 s14	1			100	18	70	12		1	s14							s14,qty=11																													r14																																																										0
runes release r14 from stack of x11 s14	1			100	18	70	11		1	s14							s14,qty=10																													r14																																																										0
runes release r14 from stack of x10 s14	1			100	18	70	10		1	s14							s14,qty=9																													r14																																																										0
runes release r14 from stack of x9 s14	1			100	18	70	9		1	s14							s14,qty=8																													r14																																																										0
runes release r14 from stack of x8 s14	1			100	18	70	8		1	s14							s14,qty=7																													r14																																																										0
runes release r14 from stack of x7 s14	1			100	18	70	7		1	s14							s14,qty=6																													r14																																																										0
runes release r14 from stack of x6 s14	1			100	18	70	6		1	s14							s14,qty=5																													r14																																																										0
runes release r14 from stack of x5 s14	1			100	18	70	5		1	s14							s14,qty=4																													r14																																																										0
runes release r14 from stack of x4 s14	1			100	18	70	4		1	s14							s14,qty=3																													r14																																																										0
runes release r14 from stack of x3 s14	1			100	18	70	3		1	s14							s14,qty=2																													r14																																																										0
runes release r14 from stack of x2 s14	1			100	18	70	2		1	s14							s14,qty=1																													r14																																																										0
runes r15 -> stackable s15	1			100					1	r15							s15																																																																																							0
runes stackable s15 -> r15	1			100	18	70	1		1	s15							r15																																																																																							0
runes release r15 from stack of x12 s15	1			100	18	70	12		1	s15							s15,qty=11																													r15																																																										0
runes release r15 from stack of x11 s15	1			100	18	70	11		1	s15							s15,qty=10																													r15																																																										0
runes release r15 from stack of x10 s15	1			100	18	70	10		1	s15							s15,qty=9																													r15																																																										0
runes release r15 from stack of x9 s15	1			100	18	70	9		1	s15							s15,qty=8																													r15																																																										0
runes release r15 from stack of x8 s15	1			100	18	70	8		1	s15							s15,qty=7																													r15																																																										0
runes release r15 from stack of x7 s15	1			100	18	70	7		1	s15							s15,qty=6																													r15																																																										0
runes release r15 from stack of x6 s15	1			100	18	70	6		1	s15							s15,qty=5																													r15																																																										0
runes release r15 from stack of x5 s15	1			100	18	70	5		1	s15							s15,qty=4																													r15																																																										0
runes release r15 from stack of x4 s15	1			100	18	70	4		1	s15							s15,qty=3																													r15																																																										0
runes release r15 from stack of x3 s15	1			100	18	70	3		1	s15							s15,qty=2																													r15																																																										0
runes release r15 from stack of x2 s15	1			100	18	70	2		1	s15							s15,qty=1																													r15																																																										0
runes r16 -> stackable s16	1			100					1	r16							s16																																																																																							0
runes stackable s16 -> r16	1			100	18	70	1		1	s16							r16																																																																																							0
runes release r16 from stack of x12 s16	1			100	18	70	12		1	s16							s16,qty=11																													r16																																																										0
runes release r16 from stack of x11 s16	1			100	18	70	11		1	s16							s16,qty=10																													r16																																																										0
runes release r16 from stack of x10 s16	1			100	18	70	10		1	s16							s16,qty=9																													r16																																																										0
runes release r16 from stack of x9 s16	1			100	18	70	9		1	s16							s16,qty=8																													r16																																																										0
runes release r16 from stack of x8 s16	1			100	18	70	8		1	s16							s16,qty=7																													r16																																																										0
runes release r16 from stack of x7 s16	1			100	18	70	7		1	s16							s16,qty=6																													r16																																																										0
runes release r16 from stack of x6 s16	1			100	18	70	6		1	s16							s16,qty=5																													r16																																																										0
runes release r16 from stack of x5 s16	1			100	18	70	5		1	s16							s16,qty=4																													r16																																																										0
runes release r16 from stack of x4 s16	1			100	18	70	4		1	s16							s16,qty=3																													r16																																																										0
runes release r16 from stack of x3 s16	1			100	18	70	3		1	s16							s16,qty=2																													r16																																																										0
runes release r16 from stack of x2 s16	1			100	18	70	2		1	s16							s16,qty=1																													r16																																																										0
runes r17 -> stackable s17	1			100					1	r17							s17																																																																																							0
runes stackable s17 -> r17	1			100	18	70	1		1	s17							r17																																																																																							0
runes release r17 from stack of x12 s17	1			100	18	70	12		1	s17							s17,qty=11																													r17																																																										0
runes release r17 from stack of x11 s17	1			100	18	70	11		1	s17							s17,qty=10																													r17																																																										0
runes release r17 from stack of x10 s17	1			100	18	70	10		1	s17							s17,qty=9																													r17																																																										0
runes release r17 from stack of x9 s17	1			100	18	70	9		1	s17							s17,qty=8																													r17																																																										0
runes release r17 from stack of x8 s17	1			100	18	70	8		1	s17							s17,qty=7																													r17																																																										0
runes release r17 from stack of x7 s17	1			100	18	70	7		1	s17							s17,qty=6																													r17																																																										0
runes release r17 from stack of x6 s17	1			100	18	70	6		1	s17							s17,qty=5																													r17																																																										0
runes release r17 from stack of x5 s17	1			100	18	70	5		1	s17							s17,qty=4																													r17																																																										0
runes release r17 from stack of x4 s17	1			100	18	70	4		1	s17							s17,qty=3																													r17																																																										0
runes release r17 from stack of x3 s17	1			100	18	70	3		1	s17							s17,qty=2																													r17																																																										0
runes release r17 from stack of x2 s17	1			100	18	70	2		1	s17							s17,qty=1																													r17																																																										0
runes r18 -> stackable s18	1			100					1	r18							s18																																																																																							0
runes stackable s18 -> r18	1			100	18	70	1		1	s18							r18																																																																																							0
runes release r18 from stack of x12 s18	1			100	18	70	12		1	s18							s18,qty=11																													r18																																																										0
runes release r18 from stack of x11 s18	1			100	18	70	11		1	s18							s18,qty=10																													r18																																																										0
runes release r18 from stack of x10 s18	1			100	18	70	10		1	s18							s18,qty=9																													r18																																																										0
runes release r18 from stack of x9 s18	1			100	18	70	9		1	s18							s18,qty=8																													r18																																																										0
runes release r18 from stack of x8 s18	1			100	18	70	8		1	s18							s18,qty=7																													r18																																																										0
runes release r18 from stack of x7 s18	1			100	18	70	7		1	s18							s18,qty=6																													r18																																																										0
runes release r18 from stack of x6 s18	1			100	18	70	6		1	s18							s18,qty=5																													r18																																																										0
runes release r18 from stack of x5 s18	1			100	18	70	5		1	s18							s18,qty=4																													r18																																																										0
runes release r18 from stack of x4 s18	1			100	18	70	4		1	s18							s18,qty=3																													r18																																																										0
runes release r18 from stack of x3 s18	1			100	18	70	3		1	s18							s18,qty=2																													r18																																																										0
runes release r18 from stack of x2 s18	1			100	18	70	2		1	s18							s18,qty=1																													r18																																																										0
runes r19 -> stackable s19	1			100					1	r19							s19																																																																																							0
runes stackable s19 -> r19	1			100	18	70	1		1	s19							r19																																																																																							0
runes release r19 from stack of x12 s19	1			100	18	70	12		1	s19							s19,qty=11																													r19																																																										0
runes release r19 from stack of x11 s19	1			100	18	70	11		1	s19							s19,qty=10																													r19																																																										0
runes release r19 from stack of x10 s19	1			100	18	70	10		1	s19							s19,qty=9																													r19																																																										0
runes release r19 from stack of x9 s19	1			100	18	70	9		1	s19							s19,qty=8																													r19																																																										0
runes release r19 from stack of x8 s19	1			100	18	70	8		1	s19							s19,qty=7																													r19																																																										0
runes release r19 from stack of x7 s19	1			100	18	70	7		1	s19							s19,qty=6																													r19																																																										0
runes release r19 from stack of x6 s19	1			100	18	70	6		1	s19							s19,qty=5																													r19																																																										0
runes release r19 from stack of x5 s19	1			100	18	70	5		1	s19							s19,qty=4																													r19																																																										0
runes release r19 from stack of x4 s19	1			100	18	70	4		1	s19							s19,qty=3																													r19																																																										0
runes release r19 from stack of x3 s19	1			100	18	70	3		1	s19							s19,qty=2																													r19																																																										0
runes release r19 from stack of x2 s19	1			100	18	70	2		1	s19							s19,qty=1																													r19																																																										0
runes r20 -> stackable s20	1			100					1	r20							s20																																																																																							0
runes stackable s20 -> r20	1			100	18	70	1		1	s20							r20																																																																																							0
runes release r20 from stack of x12 s20	1			100	18	70	12		1	s20							s20,qty=11																													r20																																																										0
runes release r20 from stack of x11 s20	1			100	18	70	11		1	s20							s20,qty=10																													r20																																																										0
runes release r20 from stack of x10 s20	1			100	18	70	10		1	s20							s20,qty=9																													r20																																																										0
runes release r20 from stack of x9 s20	1			100	18	70	9		1	s20							s20,qty=8																													r20																																																										0
runes release r20 from stack of x8 s20	1			100	18	70	8		1	s20							s20,qty=7																													r20																																																										0
runes release r20 from stack of x7 s20	1			100	18	70	7		1	s20							s20,qty=6																													r20																																																										0
runes release r20 from stack of x6 s20	1			100	18	70	6		1	s20							s20,qty=5																													r20																																																										0
runes release r20 from stack of x5 s20	1			100	18	70	5		1	s20							s20,qty=4																													r20																																																										0
runes release r20 from stack of x4 s20	1			100	18	70	4		1	s20							s20,qty=3																													r20																																																										0
runes release r20 from stack of x3 s20	1			100	18	70	3		1	s20							s20,qty=2																													r20																																																										0
runes release r20 from stack of x2 s20	1			100	18	70	2		1	s20							s20,qty=1																													r20																																																										0
runes r21 -> stackable s21	1			100					1	r21							s21																																																																																							0
runes stackable s21 -> r21	1			100	18	70	1		1	s21							r21																																																																																							0
runes release r21 from stack of x12 s21	1			100	18	70	12		1	s21							s21,qty=11																													r21																																																										0
runes release r21 from stack of x11 s21	1			100	18	70	11		1	s21							s21,qty=10																													r21																																																										0
runes release r21 from stack of x10 s21	1			100	18	70	10		1	s21							s21,qty=9																													r21																																																										0
runes release r21 from stack of x9 s21	1			100	18	70	9		1	s21							s21,qty=8																													r21																																																										0
runes release r21 from stack of x8 s21	1			100	18	70	8		1	s21							s21,qty=7																													r21																																																										0
runes release r21 from stack of x7 s21	1			100	18	70	7		1	s21							s21,qty=6																													r21																																																										0
runes release r21 from stack of x6 s21	1			100	18	70	6		1	s21							s21,qty=5																													r21																																																										0
runes release r21 from stack of x5 s21	1			100	18	70	5		1	s21							s21,qty=4																													r21																																																										0
runes release r21 from stack of x4 s21	1			100	18	70	4		1	s21							s21,qty=3																													r21																																																										0
runes release r21 from stack of x3 s21	1			100	18	70	3		1	s21							s21,qty=2																													r21																																																										0
runes release r21 from stack of x2 s21	1			100	18	70	2		1	s21							s21,qty=1																													r21																																																										0
runes r22 -> stackable s22	1			100					1	r22							s22																																																																																							0
runes stackable s22 -> r22	1			100	18	70	1		1	s22							r22																																																																																							0
runes release r22 from stack of x12 s22	1			100	18	70	12		1	s22							s22,qty=11																													r22																																																										0
runes release r22 from stack of x11 s22	1			100	18	70	11		1	s22							s22,qty=10																													r22																																																										0
runes release r22 from stack of x10 s22	1			100	18	70	10		1	s22							s22,qty=9																													r22																																																										0
runes release r22 from stack of x9 s22	1			100	18	70	9		1	s22							s22,qty=8																													r22																																																										0
runes release r22 from stack of x8 s22	1			100	18	70	8		1	s22							s22,qty=7																													r22																																																										0
runes release r22 from stack of x7 s22	1			100	18	70	7		1	s22							s22,qty=6																													r22																																																										0
runes release r22 from stack of x6 s22	1			100	18	70	6		1	s22							s22,qty=5																													r22																																																										0
runes release r22 from stack of x5 s22	1			100	18	70	5		1	s22							s22,qty=4																													r22																																																										0
runes release r22 from stack of x4 s22	1			100	18	70	4		1	s22							s22,qty=3																													r22																																																										0
runes release r22 from stack of x3 s22	1			100	18	70	3		1	s22							s22,qty=2																													r22																																																										0
runes release r22 from stack of x2 s22	1			100	18	70	2		1	s22							s22,qty=1																													r22																																																										0
runes r23 -> stackable s23	1			100					1	r23							s23																																																																																							0
runes stackable s23 -> r23	1			100	18	70	1		1	s23							r23																																																																																							0
runes release r23 from stack of x12 s23	1			100	18	70	12		1	s23							s23,qty=11																													r23																																																										0
runes release r23 from stack of x11 s23	1			100	18	70	11		1	s23							s23,qty=10																													r23																																																										0
runes release r23 from stack of x10 s23	1			100	18	70	10		1	s23							s23,qty=9																													r23																																																										0
runes release r23 from stack of x9 s23	1			100	18	70	9		1	s23							s23,qty=8																													r23																																																										0
runes release r23 from stack of x8 s23	1			100	18	70	8		1	s23							s23,qty=7																													r23																																																										0
runes release r23 from stack of x7 s23	1			100	18	70	7		1	s23							s23,qty=6																													r23																																																										0
runes release r23 from stack of x6 s23	1			100	18	70	6		1	s23							s23,qty=5																													r23																																																										0
runes release r23 from stack of x5 s23	1			100	18	70	5		1	s23							s23,qty=4																													r23																																																										0
runes release r23 from stack of x4 s23	1			100	18	70	4		1	s23							s23,qty=3																													r23																																																										0
runes release r23 from stack of x3 s23	1			100	18	70	3		1	s23							s23,qty=2																													r23																																																										0
runes release r23 from stack of x2 s23	1			100	18	70	2		1	s23							s23,qty=1																													r23																																																										0
runes r24 -> stackable s24	1			100					1	r24							s24																																																																																							0
runes stackable s24 -> r24	1			100	18	70	1		1	s24							r24																																																																																							0
runes release r24 from stack of x12 s24	1			100	18	70	12		1	s24							s24,qty=11																													r24																																																										0
runes release r24 from stack of x11 s24	1			100	18	70	11		1	s24							s24,qty=10																													r24																																																										0
runes release r24 from stack of x10 s24	1			100	18	70	10		1	s24							s24,qty=9																													r24																																																										0
runes release r24 from stack of x9 s24	1			100	18	70	9		1	s24							s24,qty=8																													r24																																																										0
runes release r24 from stack of x8 s24	1			100	18	70	8		1	s24							s24,qty=7																													r24																																																										0
runes release r24 from stack of x7 s24	1			100	18	70	7		1	s24							s24,qty=6																													r24																																																										0
runes release r24 from stack of x6 s24	1			100	18	70	6		1	s24							s24,qty=5																													r24																																																										0
runes release r24 from stack of x5 s24	1			100	18	70	5		1	s24							s24,qty=4																													r24																																																										0
runes release r24 from stack of x4 s24	1			100	18	70	4		1	s24							s24,qty=3																													r24																																																										0
runes release r24 from stack of x3 s24	1			100	18	70	3		1	s24							s24,qty=2																													r24																																																										0
runes release r24 from stack of x2 s24	1			100	18	70	2		1	s24							s24,qty=1																													r24																																																										0
runes r25 -> stackable s25	1			100					1	r25							s25																																																																																							0
runes stackable s25 -> r25	1			100	18	70	1		1	s25							r25																																																																																							0
runes release r25 from stack of x12 s25	1			100	18	70	12		1	s25							s25,qty=11																													r25																																																										0
runes release r25 from stack of x11 s25	1			100	18	70	11		1	s25							s25,qty=10																													r25																																																										0
runes release r25 from stack of x10 s25	1			100	18	70	10		1	s25							s25,qty=9																													r25																																																										0
runes release r25 from stack of x9 s25	1			100	18	70	9		1	s25							s25,qty=8																													r25																																																										0
runes release r25 from stack of x8 s25	1			100	18	70	8		1	s25							s25,qty=7																													r25																																																										0
runes release r25 from stack of x7 s25	1			100	18	70	7		1	s25							s25,qty=6																													r25																																																										0
runes release r25 from stack of x6 s25	1			100	18	70	6		1	s25							s25,qty=5																													r25																																																										0
runes release r25 from stack of x5 s25	1			100	18	70	5		1	s25							s25,qty=4																													r25																																																										0
runes release r25 from stack of x4 s25	1			100	18	70	4		1	s25							s25,qty=3																													r25																																																										0
runes release r25 from stack of x3 s25	1			100	18	70	3		1	s25							s25,qty=2																													r25																																																										0
runes release r25 from stack of x2 s25	1			100	18	70	2		1	s25							s25,qty=1																													r25																																																										0
runes r26 -> stackable s26	1			100					1	r26							s26																																																																																							0
runes stackable s26 -> r26	1			100	18	70	1		1	s26							r26																																																																																							0
runes release r26 from stack of x12 s26	1			100	18	70	12		1	s26							s26,qty=11																													r26																																																										0
runes release r26 from stack of x11 s26	1			100	18	70	11		1	s26							s26,qty=10																													r26																																																										0
runes release r26 from stack of x10 s26	1			100	18	70	10		1	s26							s26,qty=9																													r26																																																										0
runes release r26 from stack of x9 s26	1			100	18	70	9		1	s26							s26,qty=8																													r26																																																										0
runes release r26 from stack of x8 s26	1			100	18	70	8		1	s26							s26,qty=7																													r26																																																										0
runes release r26 from stack of x7 s26	1			100	18	70	7		1	s26							s26,qty=6																													r26																																																										0
runes release r26 from stack of x6 s26	1			100	18	70	6		1	s26							s26,qty=5																													r26																																																										0
runes release r26 from stack of x5 s26	1			100	18	70	5		1	s26							s26,qty=4																													r26																																																										0
runes release r26 from stack of x4 s26	1			100	18	70	4		1	s26							s26,qty=3																													r26																																																										0
runes release r26 from stack of x3 s26	1			100	18	70	3		1	s26							s26,qty=2																													r26																																																										0
runes release r26 from stack of x2 s26	1			100	18	70	2		1	s26							s26,qty=1																													r26																																																										0
runes r27 -> stackable s27	1			100					1	r27							s27																																																																																							0
runes stackable s27 -> r27	1			100	18	70	1		1	s27							r27																																																																																							0
runes release r27 from stack of x12 s27	1			100	18	70	12		1	s27							s27,qty=11																													r27																																																										0
runes release r27 from stack of x11 s27	1			100	18	70	11		1	s27							s27,qty=10																													r27																																																										0
runes release r27 from stack of x10 s27	1			100	18	70	10		1	s27							s27,qty=9																													r27																																																										0
runes release r27 from stack of x9 s27	1			100	18	70	9		1	s27							s27,qty=8																													r27																																																										0
runes release r27 from stack of x8 s27	1			100	18	70	8		1	s27							s27,qty=7																													r27																																																										0
runes release r27 from stack of x7 s27	1			100	18	70	7		1	s27							s27,qty=6																													r27																																																										0
runes release r27 from stack of x6 s27	1			100	18	70	6		1	s27							s27,qty=5																													r27																																																										0
